Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,2.026,2.05,2.0,2.03,2.011359,2877370.0
2013-11-04,2.064,2.064,2.026,2.048,2.029194,1670845.0
2013-11-05,2.04,2.082,2.024,2.068,2.04901,2397480.0
2013-11-06,2.052,2.114,2.052,2.068,2.04901,5124605.0
2013-11-07,2.066,2.094,2.046,2.05,2.031175,2745570.0
2013-11-08,2.028,2.068,2.018,2.03,2.011359,1413865.0
2013-11-11,2.006,2.054,2.006,2.052,2.033157,2368975.0
2013-11-12,2.058,2.11,2.036,2.106,2.086661,8666595.0
2013-11-13,2.102,2.12,2.07,2.086,2.066845,7963905.0
2013-11-14,2.066,2.13,2.048,2.13,2.110441,8289570.0
2013-11-15,2.14,2.194,2.13,2.146,2.126294,19174850.0
2013-11-18,2.146,2.22,2.146,2.192,2.171871,15419910.0
2013-11-19,2.18,2.208,2.148,2.164,2.144129,9534220.0
2013-11-20,2.17,2.182,2.148,2.172,2.152055,5719685.0
2013-11-21,2.168,2.234,2.15,2.224,2.203578,16757390.0
2013-11-22,2.222,2.222,2.16,2.176,2.156018,9049335.0
2013-11-25,2.176,2.218,2.164,2.18,2.159982,6755650.0
2013-11-26,2.176,2.218,2.166,2.198,2.177816,6022340.0
2013-11-27,2.21,2.24,2.18,2.234,2.213486,9828275.0
2013-11-28,2.234,2.292,2.228,2.236,2.215467,15819775.0
2013-11-29,2.23,2.296,2.23,2.28,2.259063,15445780.0
2013-12-02,2.2,2.228,2.096,2.1,2.080716,15086850.0
2013-12-03,2.098,2.16,2.076,2.152,2.132239,6574780.0
2013-12-04,2.14,2.208,2.132,2.172,2.152055,8749955.0
2013-12-05,2.176,2.218,2.174,2.202,2.181779,8022045.0
2013-12-06,2.206,2.22,2.17,2.18,2.159982,7317340.0
2013-12-09,2.2,2.252,2.182,2.24,2.219431,9016600.0
2013-12-10,2.24,2.278,2.222,2.224,2.203578,7795295.0
2013-12-11,2.234,2.236,2.192,2.21,2.189706,6160645.0
2013-12-12,2.2,2.23,2.192,2.208,2.187724,5315400.0
2013-12-13,2.218,2.262,2.2,2.26,2.239247,8265005.0
2013-12-16,2.27,2.29,2.22,2.224,2.203578,8710145.0
2013-12-17,2.236,2.258,2.182,2.24,2.219431,8738140.0
2013-12-18,2.24,2.264,2.212,2.25,2.229339,8271790.0
2013-12-19,2.26,2.336,2.258,2.3,2.27888,22778395.0
2013-12-20,2.282,2.312,2.23,2.256,2.235284,12129060.0
2013-12-23,2.232,2.246,2.152,2.17,2.150074,10136065.0
2013-12-24,2.16,2.212,2.16,2.198,2.177816,6575300.0
2013-12-25,2.188,2.252,2.186,2.252,2.231321,7673070.0
2013-12-26,2.256,2.27,2.192,2.196,2.175835,7428770.0
2013-12-27,2.18,2.26,2.172,2.252,2.231321,7947370.0
2013-12-30,2.266,2.324,2.252,2.288,2.26699,10733820.0
2013-12-31,2.298,2.338,2.27,2.296,2.274916,10371455.0
2014-01-02,2.296,2.35,2.276,2.33,2.308604,11028125.0
2014-01-03,2.316,2.386,2.3,2.322,2.300678,12968130.0
2014-01-06,2.3,2.318,2.25,2.254,2.233302,8364375.0
2014-01-07,2.25,2.29,2.244,2.266,2.245192,6454195.0
2014-01-08,2.28,2.292,2.26,2.266,2.245192,6211540.0
2014-01-09,2.264,2.268,2.18,2.198,2.177816,10063320.0
2014-01-10,2.182,2.208,2.136,2.158,2.138184,4920830.0
2014-01-13,2.192,2.256,2.164,2.21,2.189706,5991565.0
2014-01-14,2.22,2.244,2.182,2.24,2.219431,4811320.0
2014-01-15,2.24,2.28,2.22,2.25,2.229339,6235040.0
2014-01-16,2.242,2.32,2.236,2.284,2.263026,10701280.0
2014-01-17,2.28,2.28,2.23,2.254,2.233302,5621005.0
2014-01-20,2.254,2.294,2.24,2.284,2.263026,5596380.0
2014-01-21,2.274,2.314,2.274,2.31,2.288788,6421035.0
2014-01-22,2.31,2.338,2.304,2.324,2.302659,10042890.0
2014-01-23,2.314,2.344,2.304,2.33,2.308604,8210425.0
